ANO,MES,EMPRESA,ORIGEM,DESTINO
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBCY
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBEG
2020,4,AZU,SBBE,SBFI
2020,4,AZU,SBBE,SBFI
2020,4,AZU,SBBE,SBFI
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
2020,4,AZU,SBBE,SBFL
